Record_ID,State,Area_Type,Population,Health_Facilities,Doctors_per_1000,Nurses_per_1000,Insurance_Coverage_pct,Immunization_Coverage_pct,Skilled_Birth_Attendance_pct,Out_of_Pocket_Expenditure_pct,Improved_Water_Access_pct,Electricity_Availability_pct,Avg_Travel_Time_to_Facility_min,UHC_Readiness_Index,Readiness_Category
1,Adamawa,Urban,1884068,486,2.26,0.79,24.8,53.2,80.8,64.0,91.6,26.9,53.5,59.4,Moderate
2,Ebonyi,Rural,2904228,579,1.79,0.81,18.5,78.3,67.6,34.3,70.7,83.9,5.7,65.6,Moderate
3,Taraba,Urban,3225376,171,0.59,11.51,29.9,45.5,36.7,75.1,71.7,83.8,88.9,55.0,Moderate
4,Bayelsa,Urban,897261,788,1.95,10.04,53.3,90.8,69.8,65.8,33.2,38.0,38.3,75.6,High
5,Ebonyi,Urban,1420719,956,1.01,7.81,32.3,61.8,44.5,37.4,94.6,71.2,75.1,62.2,Moderate
6,Katsina,Rural,2295973,145,1.36,11.88,55.1,72.9,77.2,74.8,83.5,38.1,8.7,78.3,High
7,Gombe,Rural,4953862,887,0.78,11.34,74.7,58.6,75.2,45.7,93.1,56.2,35.5,77.5,High
8,Ogun,Urban,3277662,791,3.15,5.09,20.2,98.9,65.2,25.9,33.3,28.7,77.2,73.2,Moderate
9,Kebbi,Urban,2512057,900,2.11,5.88,22.9,72.6,95.0,64.2,37.9,89.9,91.4,68.0,Moderate
10,Rivers,Urban,1332108,775,0.6,0.54,61.9,82.5,97.1,69.5,65.0,28.4,76.9,53.4,Low
11,Kano,Urban,535911,503,2.68,6.7,66.6,71.3,30.0,41.1,31.3,93.4,106.1,71.5,Moderate
12,Yobe,Urban,2273456,1090,3.08,11.39,9.1,68.7,34.8,69.4,82.8,30.1,59.7,72.8,Moderate
13,Ondo,Rural,1065056,517,3.06,5.37,19.6,71.8,80.4,33.1,51.5,98.6,79.7,77.8,High
14,Kebbi,Urban,4363054,497,0.83,4.39,50.8,53.6,45.2,24.6,73.5,38.1,109.1,52.2,Low
15,Benue,Urban,3665919,735,1.01,6.08,46.8,82.7,90.9,57.5,46.8,57.4,51.8,66.0,Moderate
16,Gombe,Urban,1645587,1108,1.51,5.87,62.5,79.7,97.9,26.4,57.8,46.8,104.1,72.3,Moderate
17,Taraba,Urban,832344,494,1.6,5.35,25.1,54.7,93.7,48.8,89.4,63.5,10.8,71.2,Moderate
18,Osun,Rural,3598443,1148,0.62,6.08,19.7,63.7,34.0,44.6,98.0,41.0,95.2,48.7,Low
19,Oyo,Urban,527140,1050,2.33,6.1,17.8,52.8,34.0,67.8,34.2,44.8,10.8,59.6,Moderate
20,Bayelsa,Rural,4946198,1167,0.33,2.64,51.4,79.8,46.2,27.8,91.4,39.5,73.4,52.8,Low
21,Bauchi,Urban,3894377,1163,1.85,11.25,19.0,82.3,46.5,45.7,76.3,43.7,41.4,72.7,Moderate
22,Taraba,Rural,4487076,26,3.49,1.34,19.7,55.6,94.4,77.3,90.7,49.2,23.1,73.7,Moderate
23,Kaduna,Urban,2926288,426,2.35,6.88,79.3,46.1,90.6,37.2,91.4,78.7,22.9,87.9,High
24,Kebbi,Urban,2247440,340,2.42,10.31,43.9,54.8,92.7,23.3,73.8,85.5,10.1,91.4,High
25,Yobe,Urban,3655312,271,2.61,6.84,37.5,40.6,35.2,77.4,92.4,63.1,101.0,62.5,Moderate
26,Yobe,Rural,1346487,494,0.19,4.69,79.4,97.4,32.8,43.3,77.1,72.7,45.7,61.0,Moderate
27,Gombe,Rural,1385448,231,3.03,11.73,69.3,92.0,31.7,67.9,52.9,93.5,97.3,84.2,High
28,Ekiti,Rural,2803660,580,1.37,0.95,41.1,51.8,93.4,42.7,86.6,88.8,30.6,65.6,Moderate
29,Imo,Urban,4920339,553,3.03,11.62,25.2,77.8,57.6,83.8,67.0,94.2,18.3,85.0,High
30,Akwa Ibom,Rural,64187,1074,0.18,7.36,30.7,86.4,60.1,84.0,38.0,91.1,26.9,55.6,Moderate
31,Katsina,Urban,2569285,1048,3.24,6.69,61.7,83.8,76.3,43.7,34.8,72.5,43.0,86.8,High
32,Zamfara,Rural,3456405,1132,1.12,5.2,35.4,57.4,38.8,47.3,94.9,73.5,108.8,54.6,Low
33,Ebonyi,Urban,2430572,1065,2.93,3.99,19.4,86.4,71.9,40.9,60.5,73.4,63.8,74.1,Moderate
34,Oyo,Urban,3870307,858,2.34,7.62,9.8,96.2,46.2,40.2,85.7,31.6,10.3,73.8,Moderate
35,Benue,Rural,1885772,370,3.11,7.12,61.6,62.7,57.6,29.6,77.4,90.5,104.0,82.7,High
36,Yobe,Rural,3762574,1043,2.82,8.5,40.6,72.9,93.3,27.9,39.2,56.7,66.1,83.6,High
37,Sokoto,Rural,2056939,572,1.52,10.93,39.0,49.4,89.4,49.3,81.9,86.3,36.9,79.1,High
38,Enugu,Urban,3530164,844,1.57,8.71,21.5,59.8,91.6,25.2,40.4,50.3,22.6,72.9,Moderate
39,Zamfara,Rural,4051196,22,1.19,5.86,7.2,89.1,56.9,70.0,95.3,21.5,106.3,51.8,Low
40,Plateau,Urban,2339547,902,3.3,3.93,34.4,92.6,87.7,55.0,80.7,83.2,108.2,79.6,High
41,Nasarawa,Urban,754202,887,1.73,4.97,57.5,87.1,80.0,74.6,93.4,97.5,66.4,73.9,Moderate
42,Niger,Rural,737079,973,0.52,5.81,6.2,62.4,44.6,41.2,82.5,50.0,91.5,47.1,Low
43,Ekiti,Urban,1328275,498,0.12,6.7,85.0,60.6,74.9,70.8,75.0,79.6,114.2,58.5,Moderate
44,Borno,Urban,2659183,231,0.49,8.2,48.8,52.9,78.3,69.8,41.6,68.0,91.0,56.2,Moderate
45,Gombe,Urban,2579858,257,2.05,11.18,49.8,93.6,55.9,81.2,43.7,66.8,100.5,72.2,Moderate
46,Plateau,Urban,3686657,751,2.8,7.01,5.4,71.4,75.6,24.5,74.7,21.0,53.3,74.2,Moderate
47,Oyo,Rural,3703863,559,2.24,10.03,60.7,65.7,80.6,82.8,48.6,83.8,66.9,78.2,High
48,Plateau,Rural,1575383,1008,1.16,3.32,79.6,56.5,61.1,68.8,69.3,72.8,43.7,62.6,Moderate
49,Niger,Rural,4707155,502,0.78,9.68,30.2,91.9,78.4,38.0,30.7,94.9,14.8,73.1,Moderate
50,Oyo,Rural,3619384,1137,2.43,7.93,42.7,86.8,36.4,34.4,77.7,44.2,71.9,73.7,Moderate
51,Edo,Urban,1865165,1001,1.19,8.58,24.5,54.8,38.3,32.5,38.2,62.3,92.7,56.0,Moderate
52,Taraba,Urban,2351090,103,1.0,7.28,65.1,75.2,97.7,74.1,50.4,48.5,39.8,69.4,Moderate
53,Ondo,Rural,1596554,115,3.41,6.86,59.9,47.5,89.9,51.9,90.2,65.4,59.0,87.5,High
54,Kano,Urban,2131976,252,0.92,10.41,11.5,43.9,63.9,57.5,77.4,32.0,98.3,54.7,Low
55,Ogun,Rural,4820009,133,1.98,5.29,51.5,76.5,83.5,44.7,92.7,43.5,72.7,73.5,Moderate
56,Abia,Rural,3829098,972,2.15,9.01,80.6,52.3,44.6,62.9,40.8,33.7,13.6,73.9,Moderate
57,Ekiti,Rural,1012813,1125,1.05,3.16,60.7,81.5,61.3,64.7,93.7,82.2,76.9,62.0,Moderate
58,Ondo,Urban,3981723,632,0.83,2.21,24.0,48.4,34.1,71.5,71.1,85.1,110.9,40.3,Low
59,Bayelsa,Urban,4875119,52,2.46,11.34,43.5,69.1,35.6,22.6,59.8,45.5,33.8,80.2,High
60,Ogun,Rural,815396,972,3.5,8.23,24.4,42.4,82.2,50.6,75.0,92.4,25.9,86.7,High
61,Yobe,Urban,3865356,190,1.25,4.33,57.6,90.6,52.8,65.1,49.9,94.7,98.6,60.5,Moderate
62,Ekiti,Rural,4231663,915,1.14,4.22,82.5,63.8,65.5,84.2,75.4,62.9,52.5,63.0,Moderate
63,Gombe,Urban,2656761,1138,2.67,2.84,47.6,94.7,60.2,65.4,38.4,96.9,75.0,70.3,Moderate
